iscnPrefix,classTitle,classDescription,imageUrl,catalogId,mintCount,listCount,editionTitleEn,editionTitleZh,editionDescriptionEn,editionDescriptionZh,editionPriceUSD,classId
iscn://likecoin-chain/fFRWoVWymdf_WMRm8nRS-63o9PkipquMhMh4f5QUuug/1,100%: the Story of a Patriot,,https://www.gutenberg.org/cache/epub/22781/pg22781.cover.medium.jpg,5776,10,10,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft18r99l8tqqmzse5vyne9qrk6p2pevdfume5cxncvf6hlyatz88rvq9uv8n9
iscn://likecoin-chain/FJRmcI2_HQsup-5M7vKsNkgLU8TgpufYniVt86SOTWU/1,1601: Conversation as it was by the Social Fireside in the Time of the Tudors,,https://www.gutenberg.org/cache/epub/22781/pg22781.cover.medium.jpg,3190,10,10,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1e5rd8cqv0enwp6kpt9m7twuh5wyld6ac2te7emlryv9lj946lseq20n377
iscn://likecoin-chain/Fydku_FM8QwJD4gpaGEAXpEZqr_y7VfXxg81RB4Rs1E,32 Caliber,,https://www.gutenberg.org/cache/epub/22781/pg22781.cover.medium.jpg,22781,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1wl3nxklwd63wl5qg59x8vxp7hnxfuz0lgpyjf09hszrmu0hzpt0q7k67rj
iscn://likecoin-chain/ZUlOxgnYiTCGejGkM3fkprOl8y9QWBxfv-CzKE-8INU,35 Sonnets,,https://www.gutenberg.org/cache/epub/19978/pg19978.cover.medium.jpg,19978,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft170hmjmnv5k35fvfed0r4c838km7a8kczc05j2ftpj38ahmzt8qss6qmnwz
iscn://likecoin-chain/7RdWzDXexGSLJp0T8l56g9E0a2uf2gUxEe5rxpftWmk,...After a Few Words...,,https://www.gutenberg.org/cache/epub/23960/pg23960.cover.medium.jpg,23960,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1vg8z7tzwrrmj5gy4cghw9n69ktud6dyqy70aczg9rl2r69dzfrjq8sv25q
iscn://likecoin-chain/iJKG47lCQ6QosLVyhoybrkp9hCW__iaO4GeZDNfx-l4,'All's Well!',,https://www.gutenberg.org/cache/epub/27126/pg27126.cover.medium.jpg,27126,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft16c6xpt9gcv7d263jmyca9fx003m642awzr4skhvanvng4jhjlhdsxjxgsq
iscn://likecoin-chain/96xhtmQ4qCW77trBjDlfoySKWtzior-7KpFapeSYjXg,'Green Balls' The Adventures of a Night-Bomber,,https://www.gutenberg.org/cache/epub/37392/pg37392.cover.medium.jpg,37392,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1r8d2rlpku3heh6sfmqvd9yqdcl7dw2hu8cwj6uz9pr6t8qqlv0uqyxxwr8
iscn://likecoin-chain/WTzc4lmEdtBnvmVxZlFGhF2jjcS0V0TCcwE9ykni87A,"'Hello, Soldier!' Khaki Verse",,https://www.gutenberg.org/cache/epub/16904/pg16904.cover.medium.jpg,16904,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft10zwpq0dw3l8jccn7uwxq6chh5p5cyaz9te8uwtl00c8vr5p68glqfjmd2g
iscn://likecoin-chain/Fq9x0myHTB5PI_FMgKl4_BW8u_vb1S_BIebJ0MqhN-c,'Jesus Himself',,https://www.gutenberg.org/cache/epub/26003/pg26003.cover.medium.jpg,26003,1024,1024,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft10l725rt9yv2z22xn64veefzhu43aflu3l60dfyjvysp8m4utgqts2da5hy
iscn://likecoin-chain/rgChaiuPdD4PdBvELwvmtESioDt653atcZV6VNq5NO8,...Or Your Money Back,,https://www.gutenberg.org/cache/epub/23534/pg23534.cover.medium.jpg,23534,10,10,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft199n8n4n32hh4a9qc9m2hadkdze46e2vt0td88f8mcuej4vch9q2qsv4qzg
iscn://likecoin-chain/m8HGR1FPcFJqGsHxHdPyUqAz-b0kcx9UyeYpON-nD68/1,"""Captains Courageous"": A Story of the Grand Banks",,https://www.gutenberg.org/cache/epub/2225/pg2225.cover.medium.jpg,2225,10,10,Free Edition,免費贈閱,Free Edition,免費贈閱,0,likenft1e7qcj65uvshcfk8fydsrqvrmr0g2kpyp3ldld8wxtqf66s6w4lrqlur56p
